postcode,lat,long
FK14 7PR,56.165774,-3.690503
SE15 6JX,51.479239,-0.073735
WR11 2AY,52.080951,-1.955739
LL13 7UE,53.042055,-3.008606
WA12 9UQ,53.456434,-2.626418
BT24 7LX,54.441269,-5.883013
AB21 0BX,57.195953,-2.212896
PA30 8EQ,56.013081,-5.452256
BN51 9DJ,50.804822,-0.058672
PE29 1JA,52.333124,-0.180966
G81 1BD,55.899171,-4.381732
DA12 5FH,51.428763,0.375661
LS10 3JT,53.75762,-1.521785
CF24 2YE,51.484269,-3.13736
RG25 3NG,51.238424,-1.255626
B42 2DW,52.535745,-1.908802
PE11 1TG,52.787116,-0.150134
OX18 2DD,51.723611,-1.50382
PL17 8DJ,50.506584,-4.231075
NR32 2RX,52.484262,1.733954
CH44 9HB,53.41031,-3.029908
MK18 7RU,51.989322,-0.973333
HR2 6DH,52.046615,-2.712238
CB6 3SR,52.357126,0.150634
S11 9JD,53.35315,-1.51298
SE25 5RZ,51.395291,-0.080239
SE1 2AA,51.50485,-0.078693
EC2V 7RF,51.516119,-0.093292
PE4 7DX,52.608,-0.239
CM7 4HT,51.996382,0.431356
SK13 1QH,53.464746,-1.979386
TF2 9SD,52.687625,-2.418402
IV36 2ZH,57.598163,-3.615976
CA11 8DD,54.663987,-2.742829
NG17 2AH,53.127599,-1.262459
NW10 5TY,51.53589,-0.238376
CV13 0QU,52.672014,-1.429249
BD24 0JF,54.168611,-2.296858
DL12 0LB,54.60864,-2.053287
BH8 8JN,50.728268,-1.864316
PE22 7EL,53.007447,-0.01889
CO16 9LG,51.829193,1.141034
RG14 6JX,51.390012,-1.333753
PL35 0BZ,50.68856,-4.657284
TF4 2QZ,52.669863,-2.468008
LU4 9FB,51.901,-0.466
NP19 4AR,51.575302,-2.973032
SW11 3GP,51.472196,-0.177522
DG1 4LJ,55.033922,-3.407856
TW7 6PX,51.470034,-0.328944
TA4 2RU,51.081681,-3.306813
SE23 2DT,51.436156,-0.045017
DE21 4NN,52.935919,-1.428954
GL1 1UY,51.86,-2.249
GU7 3FJ,51.194665,-0.598392
SY23 2AG,52.416495,-4.084038
LS25 5BA,53.775315,-1.256678
CF31 1TX,51.504398,-3.567978
NW1 8AT,51.543343,-0.153939
OX4 3QN,51.728455,-1.213466
M16 9DN,53.462576,-2.271798
SK11 0ER,53.239448,-2.090954
EC1Y 8JD,51.522239,-0.092837
TS13 4RS,54.556978,-0.897141
DH1 3RQ,54.77415,-1.574406
NG8 2FW,52.953262,-1.227322
EC2A 4JN,51.525983,-0.08419
NN1 3AH,52.2404,-0.898659
LN13 0HY,53.283275,0.183391
TR8 5SJ,50.364604,-5.057789
CF44 6EU,51.702172,-3.430373
LA4 6AS,54.079159,-2.836539
BS36 1BF,51.522057,-2.500636
TQ12 6DT,50.508705,-3.665438
S5 7HG,53.413277,-1.473118
EH22 1HU,55.893837,-3.070184
BB2 3BG,53.739011,-2.478461
ME12 2QQ,51.43806,0.770469
LA23 2DP,54.3713,-2.898068
CM9 4NG,51.737984,0.690355
TN4 8FL,51.137163,0.26056
B36 8AE,52.497319,-1.808291
LA23 3FJ,54.360969,-2.918708
BB2 1UN,53.742333,-2.503561
GL14 2SF,51.82497,-2.499302
SG14 1RZ,51.799144,-0.074285
SA7 0HN,51.675642,-3.891014
M9 6HB,53.531292,-2.2053
AB43 9BW,57.686838,-2.02464
B31 2DE,52.419594,-1.956079
CR4 1QZ,51.399145,-0.132853
SN15 2EY,51.385967,-2.052532
N17 8DA,51.603545,-0.068941
BA2 5JY,51.358782,-2.348125
WV16 4LW,52.543025,-2.432729
SN9 5AS,51.342621,-1.761255
NG8 4BG,52.966754,-1.232695
GL20 7TQ,51.982245,-2.139442
DY11 5UE,52.411435,-2.266578
PL20 7AQ,50.482173,-4.19271
DT7 3SY,50.734383,-2.961166
G44 4EU,55.818224,-4.264431
BN15 0NN,50.840123,-0.323281
NN14 1DR,52.475806,-0.658908
LN6 3RZ,53.203633,-0.607521
TN12 8DT,51.129662,0.410956
TN38 0HN,50.854312,0.553071
KY11 7HF,56.053258,-3.378569
BB7 2EJ,53.880812,-2.381673
DN4 5HD,53.519,-1.115
PL26 8WE,50.367774,-4.782691
BN3 3TB,50.831639,-0.171566
GU15 2YA,51.324428,-0.751844
BT28 3NU,54.518194,-6.052538
NG5 2HS,52.980298,-1.151581
YO24 1EP,53.943576,-1.109186
SE20 9EJ,51.415205,-0.053708
CH2 4DJ,53.224365,-2.830132
AB15 8RJ,57.167833,-2.273282
SN4 0LL,51.516539,-1.733283
PR1 6SQ,53.768785,-2.686284
B60 3SE,52.319847,-2.048663
PL14 6AF,50.455108,-4.46555
IP14 6DS,52.186417,1.177584
LL55 1YE,53.167907,-4.203811
LU7 3EB,51.926475,-0.652668
BT8 8GN,54.513156,-5.893008
DL6 1QG,54.34629,-1.420357
HX4 0EG,53.650425,-1.927738
AL7 2EN,51.801679,-0.171007
KT3 5PB,51.388706,-0.266441
BT92 3FF,54.249014,-7.677087
BT30 9HQ,54.393268,-5.759655
CO6 1EJ,51.87589,0.776521
B29 6SQ,52.444,-1.939
SG5 3PU,51.972354,-0.329597
EX15 3TU,50.929476,-3.179425
EH49 6SE,55.96709,-3.599777
LU1 4HA,51.866177,-0.45497
B17 9UA,52.457464,-1.968963
NG5 8PX,53.029823,-1.104817
FY8 3UA,53.75777,-3.000988
BT31 9RE,54.279822,-6.055434
CT2 7EL,51.284825,1.073906
EH45 8AL,55.651413,-3.189392
KY7 4TB,56.177248,-3.162836
TQ12 5ZD,50.529245,-3.598315
EH19 3RR,55.868614,-3.105446
TW9 2AE,51.465613,-0.290399
TQ6 9LA,50.352958,-3.599634
HR4 0NL,52.063306,-2.728009
DH2 2ED,54.856152,-1.587376
BT34 5NR,54.270136,-6.161554
CV21 4NY,52.360208,-1.213916
